aah,v,32,,,,,,,,,,,,,,,,,,
abacinate,v,39,,,,,,,,,,,,,,,,,,
abandon,v,40,,,,,,,,,,,,,,,,,,
abase,v,37,,,,,,,,,,,,,,,,,,
abash,v,37,,,,,,,,,,,,,,,,,,
abate,v,30,,,,,,,,,,,,,,,,,,
abbreviate,v,30,,,,,,,,,,,,,,,,,,
abdicate,v,41,,,,,,,,,,,,,,,,,,
abduce,v,32,,,,,,,,,,,,,,,,,,
abduct,v,35,,,,,,,,,,,,,,,,,,
aberrate,v,42,,,,,,,,,,,,,,,,,,
abet,v,41,,,,,,,,,,,,,,,,,,
abhor,v,37,,,,,,,,,,,,,,,,,,
abide,v,42,,,,,,,,,,,,,,,,,,
abjure,v,32,,,,,,,,,,,,,,,,,,
ablactate,v,34,,,,,,,,,,,,,,,,,,
ablate,v,30,,,,,,,,,,,,,,,,,,
abnegate,v,40,,,,,,,,,,,,,,,,,,
abolish,v,41,,,,,,,,,,,,,,,,,,
abominate,v,37,,,,,,,,,,,,,,,,,,
abort,v,30,,,,,,,,,,,,,,,,,,
abound,v,42,,,,,,,,,,,,,,,,,,
about-face,v,38,,,,,,,,,,,,,,,,,,
abrade,v,35,,,,,,,,,,,,,,,,,,
abrase,v,35,,,,,,,,,,,,,,,,,,
abreact,v,37,,,,,,,,,,,,,,,,,,
abridge,v,30,,,,,,,,,,,,,,,,,,
abrogate,v,41,,,,,,,,,,,,,,,,,,
abscise,v,35,,,,,,,,,,,,,,,,,,
abscond,v,38,,,,,,,,,,,,,,,,,,
abseil,v,38,,,,,,,,,,,,,,,,,,
absent,v,30,,,,,,,,,,,,,,,,,,
absolve,v,32,,,,,,,,,,,,,,,,,,
absorb,v,35,,,,,,,,,,,,,,,,,,
absquatulate,v,38,,,,,,,,,,,,,,,,,,
abstain,v,41,,,,,,,,,,,,,,,,,,
abstract,v,31,,,,,,,,,,,,,,,,,,
abuse,v,41,,,,,,,,,,,,,,,,,,
abut,v,35,,,,,,,,,,,,,,,,,,
aby,v,41,,,,,,,,,,,,,,,,,,
abye,v,41,,,,,,,,,,,,,,,,,,
accede,v,32,,,,,,,,,,,,,,,,,,
accelerate,v,30,,,,,,,,,,,,,,,,,,
accent,v,32,,,,,,,,,,,,,,,,,,
accentuate,v,32,,,,,,,,,,,,,,,,,,
accept,v,31,,,,,,,,,,,,,,,,,,
access,v,40,,,,,,,,,,,,,,,,,,
accession,v,32,,,,,,,,,,,,,,,,,,
acclaim,v,32,,,,,,,,,,,,,,,,,,
acclimate,v,30,,,,,,,,,,,,,,,,,,
acclimatise,v,30,,,,,,,,,,,,,,,,,,
acclimatize,v,30,,,,,,,,,,,,,,,,,,
accommodate,v,42,,,,,,,,,,,,,,,,,,
accompany,v,42,,,,,,,,,,,,,,,,,,
accomplish,v,36,,,,,,,,,,,,,,,,,,
accord,v,42,,,,,,,,,,,,,,,,,,
accost,v,32,,,,,,,,,,,,,,,,,,
account,v,42,,,,,,,,,,,,,,,,,,
accouter,v,40,,,,,,,,,,,,,,,,,,
accoutre,v,40,,,,,,,,,,,,,,,,,,
accredit,v,41,,,,,,,,,,,,,,,,,,
accrete,v,30,,,,,,,,,,,,,,,,,,
accrue,v,30,,,,,,,,,,,,,,,,,,
acculturate,v,30,,,,,,,,,,,,,,,,,,
accumulate,v,40,,,,,,,,,,,,,,,,,,
accurse,v,32,,,,,,,,,,,,,,,,,,
accuse,v,32,,,,,,,,,,,,,,,,,,
accustom,v,30,,,,,,,,,,,,,,,,,,
ace,v,41,,,,,,,,,,,,,,,,,,
acerbate,v,37,,,,,,,,,,,,,,,,,,
acetify,v,39,,,,,,,,,,,,,,,,,,
acetylate,v,30,,,,,,,,,,,,,,,,,,
acetylise,v,30,,,,,,,,,,,,,,,,,,
acetylize,v,30,,,,,,,,,,,,,,,,,,
ache,v,39,,,,,,,,,,,,,,,,,,
achieve,v,41,,,,,,,,,,,,,,,,,,
achromatise,v,30,,,,,,,,,,,,,,,,,,
achromatize,v,30,,,,,,,,,,,,,,,,,,
acid-wash,v,35,,,,,,,,,,,,,,,,,,
acidify,v,39,,,,,,,,,,,,,,,,,,
acidulate,v,39,,,,,,,,,,,,,,,,,,
acknowledge,v,32,,,,,,,,,,,,,,,,,,
acquaint,v,32,,,,,,,,,,,,,,,,,,
acquiesce,v,32,,,,,,,,,,,,,,,,,,
acquire,v,40,,,,,,,,,,,,,,,,,,
acquit,v,32,,,,,,,,,,,,,,,,,,
act,v,41,,,,,,,,,,,,,,,,,,
action,v,41,,,,,,,,,,,,,,,,,,
activate,v,36,,,,,,,,,,,,,,,,,,
actualise,v,36,,,,,,,,,,,,,,,,,,
actualize,v,36,,,,,,,,,,,,,,,,,,
actuate,v,36,,,,,,,,,,,,,,,,,,
acuminate,v,30,,,,,,,,,,,,,,,,,,
ad-lib,v,36,,,,,,,,,,,,,,,,,,
adapt,v,30,,,,,,,,,,,,,,,,,,
add,v,30,,,,,,,,,,,,,,,,,,
addict,v,34,,,,,,,,,,,,,,,,,,
addle,v,31,,,,,,,,,,,,,,,,,,
address,v,32,,,,,,,,,,,,,,,,,,
adduce,v,32,,,,,,,,,,,,,,,,,,
adduct,v,35,,,,,,,,,,,,,,,,,,
adhere,v,42,,,,,,,,,,,,,,,,,,
adjoin,v,35,,,,,,,,,,,,,,,,,,
adjourn,v,30,,,,,,,,,,,,,,,,,,
adjudge,v,32,,,,,,,,,,,,,,,,,,
adjudicate,v,41,,,,,,,,,,,,,,,,,,
adjure,v,32,,,,,,,,,,,,,,,,,,
adjust,v,30,,,,,,,,,,,,,,,,,,
admeasure,v,40,,,,,,,,,,,,,,,,,,
administer,v,41,,,,,,,,,,,,,,,,,,
administrate,v,41,,,,,,,,,,,,,,,,,,
admire,v,37,,,,,,,,,,,,,,,,,,
admit,v,32,,,,,,,,,,,,,,,,,,
admix,v,30,,,,,,,,,,,,,,,,,,
admonish,v,32,,,,,,,,,,,,,,,,,,
adolesce,v,30,,,,,,,,,,,,,,,,,,
adopt,v,40,,,,,,,,,,,,,,,,,,
adore,v,37,,,,,,,,,,,,,,,,,,
adorn,v,36,,,,,,,,,,,,,,,,,,
adsorb,v,35,,,,,,,,,,,,,,,,,,
adulate,v,32,,,,,,,,,,,,,,,,,,
adulterate,v,30,,,,,,,,,,,,,,,,,,
adumbrate,v,32,,,,,,,,,,,,,,,,,,
advance,v,38,,,,,,,,,,,,,,,,,,
advantage,v,41,,,,,,,,,,,,,,,,,,
advect,v,38,,,,,,,,,,,,,,,,,,
adventure,v,41,,,,,,,,,,,,,,,,,,
advert,v,39,,,,,,,,,,,,,,,,,,
advertise,v,32,,,,,,,,,,,,,,,,,,
advertize,v,32,,,,,,,,,,,,,,,,,,
advise,v,32,,,,,,,,,,,,,,,,,,
advocate,v,32,,,,,,,,,,,,,,,,,,
aerate,v,39,,,,,,,,,,,,,,,,,,
aerify,v,30,,,,,,,,,,,,,,,,,,
aerosolise,v,35,,,,,,,,,,,,,,,,,,
aerosolize,v,35,,,,,,,,,,,,,,,,,,
aestivate,v,29,,,,,,,,,,,,,,,,,,
affect,v,30,,,,,,,,,,,,,,,,,,
affiance,v,32,,,,,,,,,,,,,,,,,,
affiliate,v,41,,,,,,,,,,,,,,,,,,
affirm,v,31,,,,,,,,,,,,,,,,,,
affix,v,35,,,,,,,,,,,,,,,,,,
afflict,v,37,,,,,,,,,,,,,,,,,,
afford,v,34,,,,,,,,,,,,,,,,,,
afforest,v,35,,,,,,,,,,,,,,,,,,
affranchise,v,41,,,,,,,,,,,,,,,,,,
affright,v,37,,,,,,,,,,,,,,,,,,
affront,v,32,,,,,,,,,,,,,,,,,,
age,v,30,,,,,,,,,,,,,,,,,,
agenise,v,30,,,,,,,,,,,,,,,,,,
agenize,v,30,,,,,,,,,,,,,,,,,,
agglomerate,v,35,,,,,,,,,,,,,,,,,,
agglutinate,v,35,,,,,,,,,,,,,,,,,,
aggrade,v,35,,,,,,,,,,,,,,,,,,
aggrandise,v,32,,,,,,,,,,,,,,,,,,
aggrandize,v,32,,,,,,,,,,,,,,,,,,
aggravate,v,30,,,,,,,,,,,,,,,,,,
aggregate,v,42,,,,,,,,,,,,,,,,,,
aggress,v,33,,,,,,,,,,,,,,,,,,
aggrieve,v,41,,,,,,,,,,,,,,,,,,
aggroup,v,33,,,,,,,,,,,,,,,,,,
agitate,v,41,,,,,,,,,,,,,,,,,,
agnise,v,31,,,,,,,,,,,,,,,,,,
agnize,v,31,,,,,,,,,,,,,,,,,,
agonise,v,37,,,,,,,,,,,,,,,,,,
agonize,v,37,,,,,,,,,,,,,,,,,,
agree,v,32,,,,,,,,,,,,,,,,,,
aid,v,41,,,,,,,,,,,,,,,,,,
ail,v,29,,,,,,,,,,,,,,,,,,
aim,v,33,,,,,,,,,,,,,,,,,,
air,v,39,,,,,,,,,,,,,,,,,,
air-condition,v,40,,,,,,,,,,,,,,,,,,
air-cool,v,40,,,,,,,,,,,,,,,,,,
air-drop,v,35,,,,,,,,,,,,,,,,,,
air-freight,v,38,,,,,,,,,,,,,,,,,,
air-ship,v,38,,,,,,,,,,,,,,,,,,
air-slake,v,30,,,,,,,,,,,,,,,,,,
airbrush,v,35,,,,,,,,,,,,,,,,,,
airfreight,v,38,,,,,,,,,,,,,,,,,,
airlift,v,35,,,,,,,,,,,,,,,,,,
airmail,v,32,,,,,,,,,,,,,,,,,,
airt,v,38,,,,,,,,,,,,,,,,,,
alarm,v,37,,,,,,,,,,,,,,,,,,
alchemise,v,30,,,,,,,,,,,,,,,,,,
alchemize,v,30,,,,,,,,,,,,,,,,,,
alcoholise,v,30,,,,,,,,,,,,,,,,,,
alcoholize,v,34,,,,,,,,,,,,,,,,,,
alert,v,32,,,,,,,,,,,,,,,,,,
alibi,v,32,,,,,,,,,,,,,,,,,,
alien,v,40,,,,,,,,,,,,,,,,,,
alienate,v,37,,,,,,,,,,,,,,,,,,
alight,v,38,,,,,,,,,,,,,,,,,,
align,v,30,,,,,,,,,,,,,,,,,,
aliment,v,34,,,,,,,,,,,,,,,,,,
aline,v,30,,,,,,,,,,,,,,,,,,
alkalify,v,30,,,,,,,,,,,,,,,,,,
alkalinise,v,30,,,,,,,,,,,,,,,,,,
alkalinize,v,30,,,,,,,,,,,,,,,,,,
alkalise,v,30,,,,,,,,,,,,,,,,,,
alkalize,v,30,,,,,,,,,,,,,,,,,,
allay,v,37,,,,,,,,,,,,,,,,,,
allege,v,32,,,,,,,,,,,,,,,,,,
allegorise,v,31,,,,,,,,,,,,,,,,,,
allegorize,v,31,,,,,,,,,,,,,,,,,,
alleviate,v,29,,,,,,,,,,,,,,,,,,
alligator,v,30,,,,,,,,,,,,,,,,,,
alliterate,v,36,,,,,,,,,,,,,,,,,,
